第一册 | 课文no.3 | 爸 妈 我
第一册 | 课文no.4 | 大 米 土 地 马
第一册 | 课文no.5 | 花 哥 弟 个 画
第一册 | 课文no.6 | 下 洗 衣 服 鸡
第一册 | 课文no.7 | 做 过 了 不 乐
第一册 | 课文no.8 | 出 读 书 骑 车 的 话
第一册 | 课文no.9 | 你 他 水 白 皮 子 在
第一册 | 课文no.10 | 小 爱 吃 鱼 和 牛 草 好
第一册 | 课文no.11 | 家 飞 机 有 儿 河 入 校
第一册 | 课文no.12 | 山 田 左 片 右 半 云 她
第一册 | 课文no.13 | 老 师 文 朵 鹅 条 雨 天 桥
第一册 | 识字no.1 | 一 去 二 三 里 四 五 六 七 八 九 十
第一册 | 识字no.2 | 口 耳 目 羊 鸟 兔 日 月 火 木 禾 竹
第一册 | 识字no.3 | 沙 发 报 纸 台 灯 电 视 晚 上 送 果 笑 也
第一册 | 识字no.4 | 打 球 拔 拍 跳 高 跑 步 足 响 课 真 身 体
第一册 | 课文no.1 | 远 色 近 听 无 声 春 还 人 来 惊
第一册 | 课文no.2 | 对 说 是 叶 圆 夏 秋 雪 肚 就 冬
第一册 | 课文no.3 | 排 中 游 流 唱 两 岸 树 苗 绿 江 南
第一册 | 课文no.4 | 哪 座 房 漂 亮 青 门 窗 香 屋 要 们
第一册 | 课文no.5 | 爷 棵 到 给 穿 暖 冷 开 伞 热
第一册 | 课文no.6 | 静 夜 床 光 举 头 望 低 故 乡
第一册 | 课文no.7 | 船 弯 坐 只 看 见 闪 星 蓝
第一册 | 课文no.8 | 阳 像 金 野 更 面 长 早 晨 拉 进 谁
第一册 | 课文no.9 | 影 前 后 常 跟 着 黑 狗 它 朋 友
第一册 | 课文no.10 | 比 尾 巴 短 把 猴 松 鼠 扁 最 公 鸭
第一册 | 识字no.1 | 黄 猫 杏 桃 苹 红 边 多 少 群 颗 堆
第一册 | 识字no.2 | 商 场 包 奶 牙 毛 巾 笔 尺 作 业 本 东 西
第一册 | 识字no.3 | 菜 园 豆 角 萝 卜 心 又 捉 迷 藏 嘴 越 风
第一册 | 识字no.4 | 明 鲜 尘 灭 力 男 休 手 林 森 从 众
第一册 | 课文no.11 | 想 告 诉 路 能 走 北 京 城 安 广 升 旗
第一册 | 课文no.12 | 点 数 清 彩 飘 落 空 问 回 答 方
第一册 | 课文no.13 | 平 搭 间 这 些 都 住 呢 啊 没 很
第一册 | 课文no.14 | 自 已 吧 您 带 吗 深 学 会 那 景 美
第一册 | 课文no.15 | 次 瓜 燕 什 么 样 得 再 可 仔 细 兴 现
第一册 | 课文no.16 | 找 生 旁 种 许 格 外 艳 呀 每 言 语
第一册 | 课文no.17 | 啦 梅 用 几 成 蛙 为 参 加 洞 睡
第一册 | 课文no.18 | 放 布 熊 快 怎 饭 班 拿 正 礼 物 今
第一册 | 课文no.19 | 孩 让 起 玩 往 觉 烧 知 道 化
第一册 | 课文no.20 | 砍 造 满 舍 结 年 直 动 束 丽
