第二册 | 识字no.1 | 万 复 苏 柳 歌 舞 冰 泉 丁 百 齐 争 鸣
第二册 | 识字no.1 | 醒 雷 澡 枝 软 梳 梢 耍
第二册 | 识字no.2 | 线 论 趣 题 底 颜 淋 洒 滴 油 欢
第二册 | 识字no.3 | 邓 植 节 岁 龄 已 经 息 站 行 扶 栽 亲
第二册 | 识字no.4 | 古 诗 首 眠 处 闻 村 居 醉 烟 童 散 忙
第二册 | 语文园地no.1 | 评 访 挤 邮 局 轿 钱
第二册 | 识字no.2 | 懂 貌 父 母 教 认 错 事 改 愿 碗 筷 扫 夸
第二册 | 识字no.5 | 全 奇 妙 却 精 赛 关 掉 完 换 员 写 音 蹈
第二册 | 识字no.6 | 胖 喜 张 刚 贴 墙 替 拖 鞋 帮 等 变 情
第二册 | 识字no.7 | 棉 照 晒 被 盖 午 收 脱 躺 合 眼 睛 摆
第二册 | 识字no.8 | 帘 女 背 装 气 另 顾 病 太 累 医 悄 离 户
第二册 | 语文园地no.1 | 票 元 旦 值 篇 遍
第二册 | 识字no.3 | 雾 霜 朝 霞 夕 蝶 蜂 碧 紫 千 李 杨 秀
第二册 | 课文no.9 | 蛋 取 凉 定 棒 连 轻 仿 佛 抬 投 向
第二册 | 课文no.10 | 聪 活 泼 忽 然 眨 如 总 以 主 意
第二册 | 课文no.11 | 先 鹿 慢 积 鼻 脑 袋 怪 推 辆 赶 久 干 净
第二册 | 课文no.12 | 失 级 同 观 围 工 专 准 备 队 才 请 双 各
第二册 | 语文园地no.3 | 字 代 舌 页 弓 秒 炒
第二册 | 识字no.4 | 蜻 蜓 展 蝴 蚯 蚓 蚂 蚁 运 蝌 蚪 蜘 蛛 网
第二册 | 课文no.13 | 所 牧 捕 蝉 闭 立 池 惜 阴 晴 柔 露
第二册 | 课文no.14 | 荷 珠 摇 篮 晶 停 坪 透 翅 膀 蹲 嘻
第二册 | 课文no.15 | 莲 哭 睁 趴 根 腰 爬 非 感 激 谢 急 时
第二册 | 课文no.16 | 坡 割 闷 伸 喊 潮 湿 虫 消 搬 阵 哗
第二册 | 课文no.17 | 壁 虎 借 蚊 蛇 逃 难 姐 新
第二册 | 语文园地no.4 | 擦 抄 拾 摔 拨 拦 摸
第二册 | 识字no.5 | 团 量 相 遇 及 怕 攻 互 尊 重 令 纯
第二册 | 课文no.18 | 挂 街 熟 伙 伴 尝 甜 温 冻 脸 该 因 季
第二册 | 课文no.19 | 乌 鸦 喝 渴 瓶 石 办 法 渐
第二册 | 课文no.20 | 司 假 缸 别 慌 吓 叫 块 使 劲 砸 破 救
第二册 | 课文no.21 | 称 象 官 腿 柱 议 杆 秤 倒 艘 沉 止 微
第二册 | 语文园地no.5 | 矮 瘦 暗 丑 闲 旧
第二册 | 识字no.6 | 海 鸥 滩 军 舰 帆 秧 稻 塘 溪 竿 铜 号 领
第二册 | 课文no.22 | 忘 挖 井 席 导 革 命 战 士 解 刻 念
第二册 | 课文no.23 | 王 助 哨 敌 荡 顺 突 枪 杀 害 英 雄 冲 部
第二册 | 课文no.24 | 宽 虾 脚 捡 贝 壳 原 奔 密 匹 市 楼
第二册 | 课文no.25 | 吹 祝 贺 希 祖 国 由 羽 丰 勇 敢 理 敬 度
第二册 | 语文园地no.6 | 厂 甲 申 句 兄
第二册 | 识字no.7 | 虚 骄 傲 淡 诚 实 赢 赞 招
第二册 | 课文no.26 | 翻 浇 施 肥 饿 候 挑 担
第二册 | 课文no.27 | 狮 整 练 习 滚 扑 咬 苦 懒 洋 吞 将 靠 应
第二册 | 课文no.28 | 餐 丢 矿 糟 糕 粗 概 共 汽 记 保 管 夹
第二册 | 课文no.29 | 盆 位 选 并 宣 分 芽 规 盛 丝 表 煮
第二册 | 语文园地no.7 | 饼 饮 饺 猪 狼
第二册 | 识字no.8 | 初 眉 辨 斗 湖 即 雁 归 转 寒
第二册 | 课文no.30 | 姑 娘 蚜 盼 治 啄 斑
第二册 | 课文no.31 | 俩 摘 伯 而 且 踢 引
第二册 | 课文no.32 | 兰 梁 程 波 架 特 砖 划 采 薄 巧 稳
第二册 | 课文no.33 | 郊 列 弄 查 速 断 提 修 建 世 界 创 梦 名
第二册 | 课文no.34 | 灰 迎 阿 姨 追 顶 披 鼓
第二册 | 语文园地no.8 | 甘 埋 闯 掰 跌
